NMSG,CPU_MAX,CPU_AVG,ANOMALY
818327.0,7.84,6.51,0.0
678522.0,6.27,5.47,0.0
683106.0,6.27,5.32,0.0
850313.0,8.37,6.48,0.0
1111099.0,10.23,8.18,0.0
1304927.0,10.81,9.18,0.0
1091071.0,9.93,8.01,0.0
581817.0,6.86,4.78,0.0
440787.0,5.13,3.85,0.0
379818.0,6.6,4.29,0.0
242967.0,4.25,2.54,0.0
140246.0,3.15,1.93,0.0
87188.0,2.6,1.91,0.0
89269.0,2.01,1.43,0.0
56157.0,2.74,1.31,0.0
55354.0,1.48,0.98,0.0
64074.0,2.07,1.08,0.0
112204.0,2.07,1.39,0.0
241254.0,3.07,2.3,0.0
543441.0,5.65,4.01,0.0
911640.0,7.79,6.29,0.0
1182786.0,9.59,7.87,0.0
1162817.0,9.6,8.46,0.0
1072909.0,9.33,7.85,0.0
833472.0,100.0,8.05,0.0
705996.0,7.05,5.72,0.0
688401.0,6.21,5.31,0.0
866019.0,7.94,6.39,0.0
1091341.0,10.31,8.04,0.0
1266249.0,10.66,9.22,0.0
1081476.0,9.91,7.93,0.0
587945.0,6.65,5.03,0.0
438772.0,4.89,3.91,0.0
390851.0,7.65,4.72,0.0
259460.0,4.83,3.02,0.0
139894.0,2.64,1.85,0.0
88917.0,2.75,2.04,0.0
78630.0,2.52,1.43,0.0
55597.0,3.23,1.41,0.0
68310.0,1.8,1.1,0.0
69652.0,2.49,1.23,0.0
117124.0,2.43,1.5,0.0
275834.0,3.23,2.29,0.0
548572.0,5.73,4.17,0.0
930590.0,8.2,6.55,0.0
1140895.0,9.9,8.1,0.0
1205563.0,10.09,8.71,0.0
1074710.0,9.81,8.16,0.0
844618.0,7.96,6.82,0.0
737887.0,6.78,5.98,0.0
731951.0,6.54,5.54,0.0
885839.0,8.11,6.62,0.0
1158095.0,10.58,8.24,0.0
1296355.0,11.03,9.39,1.0
1145768.0,10.38,8.36,1.0
647070.0,6.74,5.28,0.0
484845.0,5.06,4.23,0.0
425969.0,7.32,4.61,0.0
285083.0,4.47,2.9,0.0
185321.0,4.08,2.32,0.0
97869.0,3.16,2.23,0.0
94744.0,2.43,1.45,0.0
56481.0,2.18,1.33,0.0
68853.0,2.45,1.27,1.0
62937.0,2.22,1.19,0.0
112422.0,2.13,1.5,0.0
255379.0,3.32,2.41,0.0
556655.0,5.76,4.2,0.0
960405.0,8.28,6.71,0.0
1171534.0,10.13,8.39,1.0
1305665.0,10.41,8.97,0.0
1180290.0,10.11,8.33,0.0
883508.0,8.26,6.73,0.0
766679.0,6.84,6.02,0.0
740631.0,7.38,6.02,0.0
998390.0,8.94,6.99,0.0
1190450.0,10.58,8.52,0.0
1340313.0,10.79,9.39,0.0
1160976.0,9.98,8.22,0.0
676240.0,6.77,5.14,0.0
538094.0,5.9,4.07,0.0
1047354.0,9.98,7.67,0.0
1433560.0,12.05,10.2,0.0
1627900.0,12.75,11.43,0.0
1302649.0,11.98,9.87,0.0
824740.0,8.04,6.62,0.0
741734.0,7.28,6.6,0.0
720847.0,7.33,6.47,0.0
854690.0,8.11,6.86,0.0
1015249.0,9.66,7.84,0.0
1163418.0,10.16,8.59,1.0
1073853.0,9.97,7.94,0.0
657356.0,6.8,5.24,0.0
504470.0,5.02,4.32,0.0
487332.0,5.51,4.42,0.0
371099.0,5.39,3.67,0.0
232378.0,3.58,2.6,0.0
142268.0,2.76,2.3,0.0
116868.0,2.48,1.85,0.0
63537.0,2.73,1.36,0.0
70507.0,100.0,2.74,0.0
58242.0,2.51,1.15,0.0
61480.0,2.94,1.47,0.0
119200.0,2.17,1.5,0.0
294556.0,3.68,2.42,0.0
619032.0,6.08,4.73,0.0
854896.0,7.9,6.51,0.0
968154.0,8.62,7.38,0.0
853596.0,8.26,6.8,0.0
566827.0,6.11,4.94,0.0
564735.0,5.85,4.98,0.0
556557.0,5.87,4.76,0.0
554830.0,5.33,4.69,0.0
600279.0,6.1,5.13,0.0
675977.0,6.6,5.77,0.0
691692.0,6.52,5.7,0.0
514806.0,5.38,4.33,0.0
455362.0,4.61,3.94,0.0
371944.0,6.81,5.97,0.0
226750.0,6.71,4.21,0.0
130067.0,2.98,1.77,0.0
92003.0,2.8,2.13,0.0
83974.0,2.41,1.63,0.0
65711.0,2.16,1.15,0.0
65360.0,1.65,1.03,0.0
62727.0,2.2,1.08,0.0
105487.0,2.04,1.44,0.0
227825.0,3.0,2.06,0.0
489375.0,5.39,3.86,0.0
814417.0,7.75,6.2,0.0
1093471.0,9.66,7.93,0.0
1128050.0,10.22,8.84,0.0
1081691.0,10.46,8.59,0.0
848590.0,8.42,7.03,0.0
705007.0,7.07,6.08,1.0
755443.0,7.09,6.13,0.0
918757.0,9.29,7.31,0.0
1174072.0,11.31,8.83,0.0
1309998.0,11.17,9.79,0.0
1080049.0,9.9,8.11,0.0
570633.0,6.3,4.77,0.0
391854.0,4.69,3.84,0.0
321569.0,6.36,4.06,0.0
205922.0,4.18,2.4,0.0
125171.0,2.9,1.91,0.0
85349.0,2.81,2.18,0.0
