ds,y
2021-08-04,14566117.0
2021-08-05,15011491.0
2021-08-06,15463965.0
2021-08-07,15385407.0
2021-08-08,10226672.0
2021-08-09,13960726.0
2021-08-10,14528256.0
2021-08-11,14663251.0
2021-08-12,14543209.0
2021-08-13,15411587.0
2021-08-14,15165738.0
2021-08-15,8332859.0
2021-08-16,13249949.0
2021-08-17,13833958.0
2021-08-18,13804782.0
2021-08-19,13810567.0
2021-08-20,13474116.0
2021-08-21,14442823.0
2021-08-22,10584707.0
2021-08-23,13780821.0
2021-08-24,13948052.0
2021-08-25,13859287.0
2021-08-26,12752100.0
2021-08-27,14932566.0
2021-08-28,15928021.0
2021-08-29,10575319.0
2021-08-30,14660623.0
2021-08-31,14146307.0
2021-09-01,15768922.0
2021-09-02,15608749.0
2021-09-03,16674427.0
2021-09-04,16119677.0
2021-09-05,10531720.0
2021-09-06,13820770.0
2021-09-07,14074479.0
2021-09-08,14002419.0
2021-09-09,14204763.0
2021-09-10,15441069.0
2021-09-11,16353124.0
2021-09-12,10549833.0
2021-09-13,13742491.0
2021-09-14,13964233.0
2021-09-15,14440678.0
2021-09-16,14268952.0
2021-09-17,15093520.0
2021-09-18,16057110.0
2021-09-19,10071794.0
2021-09-20,13500018.0
2021-09-21,14278212.0
2021-09-22,14298328.0
2021-09-23,13960453.0
2021-09-24,15082892.0
2021-09-25,16073846.0
2021-09-26,9684628.0
2021-09-27,13915696.0
2021-09-28,14140015.0
2021-09-29,13753781.0
2021-09-30,14138121.0
2021-10-01,17186634.0
2021-10-02,17158137.0
2021-10-03,10612635.0
2021-10-04,14677661.0
2021-10-05,13904871.0
2021-10-06,13683188.0
2021-10-07,13955815.0
2021-10-08,15118598.0
2021-10-09,16480226.0
2021-10-10,10239333.0
2021-10-11,13639498.0
2021-10-12,13757052.0
2021-10-13,14031551.0
2021-10-14,14037976.0
2021-10-15,15401614.0
2021-10-16,16646147.0
2021-10-17,10321484.0
2021-10-18,13216918.0
2021-10-19,13807274.0
2021-10-20,13769182.0
2021-10-21,14416831.0
2021-10-22,16230806.0
2021-10-23,17436790.0
2021-10-24,10659288.0
2021-10-25,12827367.0
2021-10-26,13038622.0
2021-10-27,14005039.0
2021-10-28,14592492.0
2021-10-29,15471767.0
2021-10-30,17114655.0
2021-10-31,10891269.0
2021-11-01,11249205.0
2021-11-02,15856626.0
2021-11-03,15072987.0
2021-11-04,14351318.0
2021-11-05,14976123.0
2021-11-06,16255747.0
2021-11-07,9961403.0
2021-11-08,12473365.0
2021-11-09,13048325.0
2021-11-10,13793621.0
2021-11-11,14069537.0
2021-11-12,15267105.0
2021-11-13,16621927.0
2021-11-14,9910981.0
2021-11-15,12999160.0
2021-11-16,13400842.0
2021-11-17,13788981.0
2021-11-18,13608566.0
2021-11-19,15104323.0
2021-11-20,16630645.0
2021-11-21,10351534.0
2021-11-22,13027294.0
2021-11-23,13824049.0
2021-11-24,13656948.0
2021-11-25,13489890.0
2021-11-26,16645978.0
2021-11-27,18374144.0
2021-11-28,11293792.0
2021-11-29,13581867.0
2021-11-30,14181102.0
2021-12-01,16692868.0
2021-12-02,15938636.0
2021-12-03,16648276.0
2021-12-04,17633734.0
2021-12-05,11245944.0
2021-12-06,14530402.0
2021-12-07,16038919.0
2021-12-08,10395271.0
2021-12-09,14859897.0
2021-12-10,15710800.0
2021-12-11,17716094.0
2021-12-12,11680481.0
2021-12-13,14646272.0
2021-12-14,15101131.0
2021-12-15,16048729.0
2021-12-16,15987416.0
2021-12-17,17031358.0
2021-12-18,19031481.0
2021-12-19,12907094.0
2021-12-20,16651626.0
2021-12-21,17676789.0
2021-12-22,18550258.0
2021-12-23,20498996.0
2021-12-24,19026798.0
2021-12-25,4068658.0
2021-12-26,5976701.0
2021-12-27,12804151.0
2021-12-28,13155847.0
2021-12-29,13488473.0
2021-12-30,14948663.0
2021-12-31,13988921.0
2022-01-01,5940765.0
2022-01-02,9408373.0
2022-01-03,15018795.0
2022-01-04,13707019.0
2022-01-05,14992237.0
2022-01-06,8927816.0
2022-01-07,13933339.0
2022-01-08,13917103.0
2022-01-09,8222929.0
2022-01-10,12160236.0
2022-01-11,12409532.0
2022-01-12,12297461.0
2022-01-13,12439958.0
2022-01-14,13629178.0
2022-01-15,15122804.0
2022-01-16,8986535.0
2022-01-17,11960456.0
2022-01-18,12406722.0
2022-01-19,12383889.0
2022-01-20,12273363.0
2022-01-21,13507087.0
2022-01-22,15469119.0
2022-01-23,8922282.0
2022-01-24,11491028.0
2022-01-25,12029140.0
2022-01-26,12100020.0
2022-01-27,12656855.0
2022-01-28,13803471.0
2022-01-29,15593044.0
2022-01-30,9212134.0
2022-01-31,11974772.0
2022-02-01,14665458.0
2022-02-02,13944468.0
2022-02-03,13741267.0
2022-02-04,13976361.0
2022-02-05,15357004.0
2022-02-06,9271776.0
2022-02-07,11903835.0
2022-02-08,13452956.0
2022-02-09,12768224.0
2022-02-10,13324538.0
2022-02-11,14493215.0
2022-02-12,15804592.0
2022-02-13,9801332.0
2022-02-14,13584697.0
2022-02-15,12374467.0
2022-02-16,12886017.0
2022-02-17,12949494.0
2022-02-18,14158065.0
2022-02-19,15588195.0
2022-02-20,9640589.0
2022-02-21,12029385.0
2022-02-22,12858944.0
2022-02-23,12871374.0
2022-02-24,13133950.0
2022-02-25,14528243.0
2022-02-26,15735895.0
2022-02-27,9858386.0
2022-02-28,13753804.0
2022-03-01,16102068.0
2022-03-02,14802938.0
2022-03-03,14401939.0
2022-03-04,14855879.0
2022-03-05,7120023.0
2022-03-06,10179827.0
2022-03-07,13067756.0
2022-03-08,14010245.0
2022-03-09,13563400.0
2022-03-10,14301837.0
2022-03-11,16203185.0
2022-03-12,17959230.0
2022-03-13,10627161.0
2022-03-14,13024860.0
2022-03-15,13574845.0
2022-03-16,13471386.0
2022-03-17,13748194.0
2022-03-18,14903459.0
2022-03-19,17024370.0
2022-03-20,10357670.0
2022-03-21,12868856.0
2022-03-22,13436398.0
2022-03-23,13647374.0
2022-03-24,13773483.0
2022-03-25,15196280.0
2022-03-26,16981422.0
2022-03-27,10143271.0
2022-03-28,13297414.0
2022-03-29,13506034.0
2022-03-30,12891542.0
2022-03-31,13562569.0
2022-04-01,18011425.0
2022-04-02,17739152.0
2022-04-03,11059671.0
2022-04-04,14141114.0
2022-04-05,14305957.0
2022-04-06,14106470.0
2022-04-07,14387808.0
2022-04-08,15918562.0
2022-04-09,17065979.0
2022-04-10,10708763.0
2022-04-11,14303174.0
2022-04-12,15454515.0
2022-04-13,15638123.0
2022-04-14,16493591.0
2022-04-15,19028278.0
2022-04-16,18982882.0
2022-04-17,6800579.0
2022-04-18,8853394.0
2022-04-19,14255229.0
2022-04-20,14132698.0
2022-04-21,14172289.0
2022-04-22,15597245.0
2022-04-23,16945819.0
2022-04-24,10440332.0
2022-04-25,10140772.0
2022-04-26,14140777.0
2022-04-27,14647061.0
2022-04-28,15027850.0
2022-04-29,16002516.0
2022-04-30,17774373.0
2022-05-01,11668466.0
2022-05-02,16352176.0
2022-05-03,15666002.0
2022-05-04,14991542.0
2022-05-05,15023391.0
2022-05-06,15749301.0
2022-05-07,18093998.0
2022-05-08,11127936.0
2022-05-09,13509869.0
2022-05-10,14795955.0
2022-05-11,15030901.0
2022-05-12,15131354.0
2022-05-13,16797079.0
2022-05-14,17919528.0
2022-05-15,11361707.0
2022-05-16,14487002.0
2022-05-17,14975705.0
2022-05-18,15044782.0
2022-05-19,15506552.0
2022-05-20,16626155.0
2022-05-21,17690638.0
2022-05-22,11584331.0
2022-05-23,14288322.0
2022-05-24,14642630.0
2022-05-25,14626165.0
2022-05-26,15137739.0
2022-05-27,16994221.0
2022-05-28,17870951.0
2022-05-29,11162002.0
2022-05-30,14498096.0
2022-05-31,15306136.0
2022-06-01,19607867.0
2022-06-02,13618665.0
2022-06-03,18752530.0
2022-06-04,17831143.0
2022-06-05,11797259.0
2022-06-06,15450240.0
2022-06-07,15607251.0
2022-06-08,15812105.0
2022-06-09,15785755.0
2022-06-10,17215138.0
2022-06-11,18109321.0
2022-06-12,11710838.0
2022-06-13,15218246.0
2022-06-14,15852628.0
2022-06-15,16626750.0
2022-06-16,16432880.0
2022-06-17,17409311.0
2022-06-18,18042990.0
2022-06-19,12001670.0
2022-06-20,15326401.0
2022-06-21,15747046.0
2022-06-22,15860645.0
2022-06-23,15621079.0
2022-06-24,16388472.0
2022-06-25,17376711.0
2022-06-26,11618518.0
2022-06-27,15429550.0
2022-06-28,16021188.0
2022-06-29,16057133.0
2022-06-30,16800059.0
2022-07-01,20126345.0
2022-07-02,20931238.0
2022-07-03,13553047.0
2022-07-04,16489564.0
2022-07-05,17216691.0
2022-07-06,16925741.0
2022-07-07,16940580.0
2022-07-08,18120904.0
2022-07-09,18684254.0
2022-07-10,12655174.0
2022-07-11,16329573.0
2022-07-12,17494067.0
2022-07-13,17266975.0
2022-07-14,16883933.0
2022-07-15,18332890.0
2022-07-16,18656237.0
2022-07-17,12806327.0
2022-07-18,16179054.0
2022-07-19,16796020.0
2022-07-20,17021618.0
2022-07-21,17068363.0
2022-07-22,17401058.0
2022-07-23,18345822.0
2022-07-24,12626016.0
2022-07-25,16071251.0
2022-07-26,16392111.0
2022-07-27,16970546.0
2022-07-28,17175804.0
2022-07-29,17612780.0
2022-07-30,18391123.0
2022-07-31,12687043.0
2022-08-01,19018536.0
2022-08-02,18684567.0
2022-08-03,17514660.0
2022-08-04,17528023.0
2022-08-05,18283259.0
2022-08-06,17885174.0
2022-08-07,12537585.0
2022-08-08,16576854.0
2022-08-09,16844581.0
2022-08-10,16952118.0
2022-08-11,17566690.0
2022-08-12,18211601.0
2022-08-13,17969303.0
2022-08-14,12971764.0
2022-08-15,10440048.0
2022-08-16,15902907.0
2022-08-17,15850840.0
2022-08-18,15780175.0
2022-08-19,16612498.0
2022-08-20,16700713.0
2022-08-21,12272601.0
2022-08-22,15888468.0
2022-08-23,16154901.0
2022-08-24,15704176.0
2022-08-25,15962815.0
2022-08-26,16843578.0
2022-08-27,17190098.0
2022-08-28,12104311.0
2022-08-29,15268564.0
2022-08-30,15397344.0
2022-08-31,15731433.0
2022-09-01,18659240.0
2022-09-02,18891350.0
2022-09-03,18094665.0
2022-09-04,12352425.0
2022-09-05,15792138.0
2022-09-06,16099866.0
2022-09-07,16046840.0
2022-09-08,16420279.0
2022-09-09,17373986.0
2022-09-10,18278119.0
2022-09-11,12516689.0
2022-09-12,15760498.0
2022-09-13,16235767.0
2022-09-14,16238816.0
2022-09-15,16682375.0
2022-09-16,17242173.0
2022-09-17,18417296.0
2022-09-18,12368335.0
2022-09-19,14980526.0
2022-09-20,16072944.0
2022-09-21,16036310.0
2022-09-22,16513116.0
2022-09-23,17363689.0
2022-09-24,17967804.0
2022-09-25,11812578.0
2022-09-26,14894405.0
2022-09-27,16390359.0
2022-09-28,16423795.0
2022-09-29,16305059.0
2022-09-30,17636206.0
2022-10-01,21856371.0
2022-10-02,13215171.0
2022-10-03,17131789.0
2022-10-04,17437533.0
2022-10-05,16575575.0
2022-10-06,16727990.0
2022-10-07,17844397.0
2022-10-08,19137859.0
2022-10-09,12192575.0
2022-10-10,15543176.0
2022-10-11,16493363.0
2022-10-12,16780129.0
2022-10-13,16288539.0
2022-10-14,18137487.0
2022-10-15,19695035.0
2022-10-16,12576011.0
2022-10-17,15448691.0
2022-10-18,15918836.0
2022-10-19,15929292.0
2022-10-20,16486530.0
2022-10-21,17835186.0
2022-10-22,19996182.0
2022-10-23,12307051.0
2022-10-24,15078660.0
2022-10-25,15907637.0
2022-10-26,16041395.0
2022-10-27,17018042.0
2022-10-28,18453579.0
2022-10-29,19796470.0
2022-10-30,13106467.0
2022-10-31,17891253.0
2022-11-01,14715168.0
2022-11-02,18336975.0
2022-11-03,16685604.0
2022-11-04,7656965.0
2022-11-05,19160679.0
2022-11-06,12207706.0
2022-11-07,15389959.0
2022-11-08,15898124.0
2022-11-09,15726264.0
2022-11-10,16710006.0
2022-11-11,18442846.0
2022-11-12,20537446.0
2022-11-13,12446678.0
2022-11-14,15230638.0
2022-11-15,16050200.0
2022-11-16,16071674.0
2022-11-17,16367433.0
2022-11-18,17996879.0
2022-11-19,19377444.0
2022-11-20,12681377.0
2022-11-21,15323814.0
2022-11-22,15048733.0
2022-11-23,16839328.0
2022-11-24,16862763.0
2022-11-25,19685689.0
2022-11-26,20423740.0
2022-11-27,13747844.0
2022-11-28,16213224.0
2022-11-29,15971716.0
2022-11-30,16799882.0
2022-12-01,20901510.0
2022-12-02,19308756.0
2022-12-03,19624255.0
2022-12-04,13630998.0
2022-12-05,16691361.0
2022-12-06,17277029.0
2022-12-07,18954402.0
2022-12-08,14267244.0
2022-12-09,18883545.0
2022-12-10,19497545.0
2022-12-11,13478809.0
2022-12-12,17321340.0
2022-12-13,17494022.0
2022-12-14,17758516.0
2022-12-15,18248030.0
2022-12-16,20133851.0
2022-12-17,22084103.0
2022-12-18,14731089.0
2022-12-19,18639696.0
2022-12-20,20155861.0
2022-12-21,20779072.0
2022-12-22,21889575.0
2022-12-23,23940163.0
2022-12-24,21160593.0
2022-12-25,4986118.0
2022-12-26,7648199.0
2022-12-27,15842128.0
2022-12-28,16270075.0
2022-12-29,16653768.0
2022-12-30,18433465.0
2022-12-31,16665507.0
2023-01-01,8030600.0
2023-01-02,15895719.0
2023-01-03,16252779.0
2023-01-04,16355051.0
2023-01-05,18595009.0
2023-01-06,11945841.0
2023-01-07,16941415.0
2023-01-08,10668208.0
2023-01-09,14721276.0
2023-01-10,15465574.0
2023-01-11,15933600.0
2023-01-12,15658928.0
2023-01-13,16829756.0
2023-01-14,18568016.0
2023-01-15,11641623.0
2023-01-16,14593672.0
2023-01-17,14519382.0
2023-01-18,15204191.0
2023-01-19,16269558.0
2023-01-20,16593305.0
2023-01-21,18153400.0
2023-01-22,11551009.0
2023-01-23,14639054.0
2023-01-24,16082814.0
2023-01-25,14301327.0
2023-01-26,14847975.0
2023-01-27,16998778.0
2023-01-28,18433334.0
2023-01-29,11492134.0
2023-01-30,14759869.0
2023-01-31,15837839.0
2023-02-01,19139956.0
2023-02-02,18192274.0
2023-02-03,18064304.0
2023-02-04,19906464.0
2023-02-05,12159356.0
2023-02-06,15172016.0
2023-02-07,15801026.0
2023-02-08,15587139.0
2023-02-09,16001490.0
2023-02-10,17848894.0
2023-02-11,19821598.0
2023-02-12,12143082.0
2023-02-13,16164534.0
2023-02-14,18321232.0
2023-02-15,16227506.0
2023-02-16,16328124.0
2023-02-17,17583979.0
2023-02-18,19202154.0
2023-02-19,12159531.0
2023-02-20,15549655.0
2023-02-21,15796132.0
2023-02-22,15899063.0
2023-02-23,16411921.0
2023-02-24,17628653.0
2023-02-25,18971447.0
2023-02-26,11441974.0
